DatasetName,FileName,ColumnName,DataType,UniqueValuesCount,MissingValuesCount,MissingValuesPct,PotentialRole,IsNumerical,IsCategorical,IsDateTime,IsConstantOrNearConstant,InconsistentValues,OutliersSuspicious,HasPII,DataLeakageRisk
01_student_performance,student-mat.csv,school,str,2,0,0.0,Feature,False,True,False,False,None,None,False,False
01_student_performance,student-mat.csv,sex,str,2,0,0.0,Feature,False,True,False,False,None,None,False,False
01_student_performance,student-mat.csv,age,int64,8,0,0.0,Feature,True,False,False,False,None,1 outliers (IQR method),False,False
01_student_performance,student-mat.csv,address,str,2,0,0.0,Feature,False,True,False,False,None,None,False,False
01_student_performance,student-mat.csv,famsize,str,2,0,0.0,Feature,False,True,False,False,None,None,False,False
01_student_performance,student-mat.csv,Pstatus,str,2,0,0.0,Feature,False,True,False,False,None,None,False,False
01_student_performance,student-mat.csv,Medu,int64,5,0,0.0,Feature,True,False,False,False,None,None,False,False
01_student_performance,student-mat.csv,Fedu,int64,5,0,0.0,Feature,True,False,False,False,None,None,False,False
01_student_performance,student-mat.csv,Mjob,str,5,0,0.0,Feature,False,True,False,False,None,None,False,False
01_student_performance,student-mat.csv,Fjob,str,5,0,0.0,Feature,False,True,False,False,None,None,False,False
01_student_performance,student-mat.csv,reason,str,4,0,0.0,Feature,False,True,False,False,None,None,False,False
01_student_performance,student-mat.csv,guardian,str,3,0,0.0,Feature,False,True,False,False,None,None,False,False
01_student_performance,student-mat.csv,traveltime,int64,4,0,0.0,Feature,True,False,True,False,None,None,False,False
01_student_performance,student-mat.csv,studytime,int64,4,0,0.0,Feature,True,False,True,False,None,None,False,False
01_student_performance,student-mat.csv,failures,int64,4,0,0.0,Feature,True,False,False,False,None,None,False,False
01_student_performance,student-mat.csv,schoolsup,str,2,0,0.0,Feature,False,True,False,False,None,None,False,False
01_student_performance,student-mat.csv,famsup,str,2,0,0.0,Feature,False,True,False,False,None,None,False,False
01_student_performance,student-mat.csv,paid,str,2,0,0.0,ID / Relationship Key,False,True,False,False,None,None,False,False
01_student_performance,student-mat.csv,activities,str,2,0,0.0,Feature,False,True,False,False,None,None,False,False
01_student_performance,student-mat.csv,nursery,str,2,0,0.0,Feature,False,True,False,False,None,None,False,False
01_student_performance,student-mat.csv,higher,str,2,0,0.0,Feature,False,True,False,False,None,None,False,False
01_student_performance,student-mat.csv,internet,str,2,0,0.0,Feature,False,True,False,False,None,None,False,False
01_student_performance,student-mat.csv,romantic,str,2,0,0.0,Feature,False,True,False,False,None,None,False,False
01_student_performance,student-mat.csv,famrel,int64,5,0,0.0,Feature,True,False,False,False,None,None,False,False
01_student_performance,student-mat.csv,freetime,int64,5,0,0.0,Feature,True,False,True,False,None,None,False,False
01_student_performance,student-mat.csv,goout,int64,5,0,0.0,Feature,True,False,False,False,None,None,False,False
01_student_performance,student-mat.csv,Dalc,int64,5,0,0.0,Feature,True,False,False,False,None,None,False,False
01_student_performance,student-mat.csv,Walc,int64,5,0,0.0,Feature,True,False,False,False,None,None,False,False
01_student_performance,student-mat.csv,health,int64,5,0,0.0,Feature,True,False,False,False,None,None,False,False
01_student_performance,student-mat.csv,absences,int64,34,0,0.0,Feature,True,False,False,False,None,15 outliers (IQR method),False,False
