DatasetName,FileName,ColumnName,MissingValuesCount,MissingValuesPct
01_student_performance,student-mat.csv,school,0,0.0
01_student_performance,student-mat.csv,sex,0,0.0
01_student_performance,student-mat.csv,age,0,0.0
01_student_performance,student-mat.csv,address,0,0.0
01_student_performance,student-mat.csv,famsize,0,0.0
01_student_performance,student-mat.csv,Pstatus,0,0.0
01_student_performance,student-mat.csv,Medu,0,0.0
01_student_performance,student-mat.csv,Fedu,0,0.0
01_student_performance,student-mat.csv,Mjob,0,0.0
01_student_performance,student-mat.csv,Fjob,0,0.0
01_student_performance,student-mat.csv,reason,0,0.0
01_student_performance,student-mat.csv,guardian,0,0.0
01_student_performance,student-mat.csv,traveltime,0,0.0
01_student_performance,student-mat.csv,studytime,0,0.0
01_student_performance,student-mat.csv,failures,0,0.0
01_student_performance,student-mat.csv,schoolsup,0,0.0
01_student_performance,student-mat.csv,famsup,0,0.0
01_student_performance,student-mat.csv,paid,0,0.0
01_student_performance,student-mat.csv,activities,0,0.0
01_student_performance,student-mat.csv,nursery,0,0.0
01_student_performance,student-mat.csv,higher,0,0.0
01_student_performance,student-mat.csv,internet,0,0.0
01_student_performance,student-mat.csv,romantic,0,0.0
01_student_performance,student-mat.csv,famrel,0,0.0
01_student_performance,student-mat.csv,freetime,0,0.0
01_student_performance,student-mat.csv,goout,0,0.0
01_student_performance,student-mat.csv,Dalc,0,0.0
01_student_performance,student-mat.csv,Walc,0,0.0
01_student_performance,student-mat.csv,health,0,0.0
01_student_performance,student-mat.csv,absences,0,0.0
01_student_performance,student-mat.csv,G1,0,0.0
01_student_performance,student-mat.csv,G2,0,0.0
01_student_performance,student-mat.csv,G3,0,0.0
01_student_performance,student-por.csv,school,0,0.0
01_student_performance,student-por.csv,sex,0,0.0
01_student_performance,student-por.csv,age,0,0.0
01_student_performance,student-por.csv,address,0,0.0
01_student_performance,student-por.csv,famsize,0,0.0
01_student_performance,student-por.csv,Pstatus,0,0.0
01_student_performance,student-por.csv,Medu,0,0.0
01_student_performance,student-por.csv,Fedu,0,0.0
01_student_performance,student-por.csv,Mjob,0,0.0
01_student_performance,student-por.csv,Fjob,0,0.0
01_student_performance,student-por.csv,reason,0,0.0
01_student_performance,student-por.csv,guardian,0,0.0
01_student_performance,student-por.csv,traveltime,0,0.0
01_student_performance,student-por.csv,studytime,0,0.0
01_student_performance,student-por.csv,failures,0,0.0
01_student_performance,student-por.csv,schoolsup,0,0.0
01_student_performance,student-por.csv,famsup,0,0.0
01_student_performance,student-por.csv,paid,0,0.0
01_student_performance,student-por.csv,activities,0,0.0
01_student_performance,student-por.csv,nursery,0,0.0
01_student_performance,student-por.csv,higher,0,0.0
01_student_performance,student-por.csv,internet,0,0.0
01_student_performance,student-por.csv,romantic,0,0.0
01_student_performance,student-por.csv,famrel,0,0.0
01_student_performance,student-por.csv,freetime,0,0.0
01_student_performance,student-por.csv,goout,0,0.0
01_student_performance,student-por.csv,Dalc,0,0.0
01_student_performance,student-por.csv,Walc,0,0.0
01_student_performance,student-por.csv,health,0,0.0
01_student_performance,student-por.csv,absences,0,0.0
01_student_performance,student-por.csv,G1,0,0.0
01_student_performance,student-por.csv,G2,0,0.0
01_student_performance,student-por.csv,G3,0,0.0
02_student_dropout,data.csv,Marital status,0,0.0
02_student_dropout,data.csv,Application mode,0,0.0
02_student_dropout,data.csv,Application order,0,0.0
02_student_dropout,data.csv,Course,0,0.0
02_student_dropout,data.csv,Daytime/evening attendance,0,0.0
02_student_dropout,data.csv,Previous qualification,0,0.0
